Team,Tier,Win Rate,Pick Rate,Matches,Rank,Season
"Hela, Loki, Thor",D,42.59%,4.17%,54,One Above All,season0
"Psylocke, Magik, Black Panther",D,41.67%,0.93%,12,One Above All,season0
"Magneto, Scarlet Witch",D,36.67%,2.32%,30,One Above All,season0
"Cloak & Dagger, Moon Knight",D,30.77%,5.02%,65,One Above All,season0
"Squirrel Girl, Spider Man",D,20.00%,0.39%,5,One Above All,season0
"Venom, Peni Parker, Spider Man",D,0.00%,0.08%,1,One Above All,season0
"Adam Warlock, Star Lord, Mantis",S,64.64%,2.85%,"1,773",All Ranks,1
"Captain America, Thor, Storm",A,63.04%,2.24%,"1,396",All Ranks,1
"Hela, Loki, Thor",A,60.93%,3.62%,"2,255",All Ranks,1
"Doctor Strange, Hulk, Iron Man",A,59.22%,9.30%,"5,797",All Ranks,1
"Venom, Peni Parker, Spider Man",A,58.36%,2.60%,"1,621",All Ranks,1
"Mister Fantastic, Invisible Woman",A,55.29%,16.79%,"10,460",All Ranks,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,55.01%,15.59%,"9,714",All Ranks,1
"Psylocke, Magik, Black Panther",B,55.00%,0.80%,500,All Ranks,1
"Iron Fist, Luna Snow",A,54.32%,9.07%,"5,652",All Ranks,1
"Magneto, Scarlet Witch",A,52.45%,21.83%,"13,603",All Ranks,1
"Wolverine, Hulk",B,51.84%,5.79%,"3,605",All Ranks,1
"Luna Snow, Jeff The Land Shark, Namor",B,51.65%,3.31%,"2,060",All Ranks,1
"Groot, Jeff The Land Shark, Rocket Raccoon",C,51.52%,2.58%,"1,609",All Ranks,1
"Squirrel Girl, Spider Man",B,51.08%,7.91%,"4,930",All Ranks,1
"Cloak & Dagger, Moon Knight",S,48.12%,77.89%,"48,532",All Ranks,1
"Black Widow, Hawkeye",D,41.69%,1.37%,854,All Ranks,1
"Captain America, Thor, Storm",S,67.81%,2.32%,466,Bronze,1
"Adam Warlock, Star Lord, Mantis",S,64.20%,4.04%,810,Bronze,1
"Hela, Loki, Thor",A,63.12%,3.33%,667,Bronze,1
"Doctor Strange, Hulk, Iron Man",A,62.93%,4.18%,839,Bronze,1
"Venom, Peni Parker, Spider Man",A,58.92%,3.97%,796,Bronze,1
"Mister Fantastic, Invisible Woman",S,58.44%,26.00%,"5,212",Bronze,1
"Magneto, Scarlet Witch",S,56.86%,25.88%,"5,188",Bronze,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,56.79%,11.13%,"2,231",Bronze,1
"Iron Fist, Luna Snow",A,56.11%,12.38%,"2,481",Bronze,1
"Luna Snow, Jeff The Land Shark, Namor",B,55.88%,3.95%,791,Bronze,1
"Cloak & Dagger, Moon Knight",S,53.72%,58.02%,"11,632",Bronze,1
"Groot, Jeff The Land Shark, Rocket Raccoon",B,53.41%,3.80%,762,Bronze,1
"Squirrel Girl, Spider Man",A,52.57%,15.30%,"3,068",Bronze,1
"Psylocke, Magik, Black Panther",B,52.24%,1.56%,312,Bronze,1
"Wolverine, Hulk",B,51.61%,8.85%,"1,775",Bronze,1
"Black Widow, Hawkeye",D,42.20%,3.36%,673,Bronze,1
"Psylocke, Magik, Black Panther",S,66.67%,0.36%,12,Silver,1
"Captain America, Thor, Storm",A,63.75%,2.42%,80,Silver,1
"Doctor Strange, Hulk, Iron Man",S,63.05%,8.94%,295,Silver,1
"Hela, Loki, Thor",A,61.02%,3.57%,118,Silver,1
"Mister Fantastic, Invisible Woman",A,56.13%,14.57%,481,Silver,1
"Venom, Peni Parker, Spider Man",B,55.81%,3.91%,129,Silver,1
"Wolverine, Hulk",B,55.71%,4.24%,140,Silver,1
"Iron Fist, Luna Snow",A,55.38%,7.88%,260,Silver,1
"Adam Warlock, Star Lord, Mantis",B,55.26%,2.30%,76,Silver,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,54.25%,11.06%,365,Silver,1
"Luna Snow, Jeff The Land Shark, Namor",B,52.31%,3.94%,130,Silver,1
"Magneto, Scarlet Witch",A,49.47%,31.66%,"1,045",Silver,1
"Groot, Jeff The Land Shark, Rocket Raccoon",C,48.45%,4.88%,161,Silver,1
"Cloak & Dagger, Moon Knight",S,47.45%,104.70%,"3,456",Silver,1
"Black Widow, Hawkeye",D,46.67%,0.45%,15,Silver,1
"Squirrel Girl, Spider Man",D,45.74%,6.76%,223,Silver,1
"Psylocke, Magik, Black Panther",S,75.00%,0.18%,12,Gold,1
"Adam Warlock, Star Lord, Mantis",S,66.02%,1.56%,103,Gold,1
"Hela, Loki, Thor",S,65.45%,3.34%,220,Gold,1
"Captain America, Thor, Storm",S,64.47%,2.99%,197,Gold,1
"Venom, Peni Parker, Spider Man",A,60.00%,3.57%,235,Gold,1
"Doctor Strange, Hulk, Iron Man",A,55.89%,11.23%,739,Gold,1
"Winter Soldier, Rocket Raccoon, The Punisher",A,55.71%,13.82%,910,Gold,1
"Wolverine, Hulk",B,52.73%,5.01%,330,Gold,1
"Iron Fist, Luna Snow",B,52.15%,7.43%,489,Gold,1
"Magneto, Scarlet Witch",A,51.45%,27.31%,"1,798",Gold,1
"Mister Fantastic, Invisible Woman",B,50.72%,13.66%,899,Gold,1
"Groot, Jeff The Land Shark, Rocket Raccoon",D,48.67%,3.43%,226,Gold,1
"Squirrel Girl, Spider Man",D,47.67%,6.18%,407,Gold,1
"Cloak & Dagger, Moon Knight",S,47.17%,106.76%,"7,028",Gold,1
"Luna Snow, Jeff The Land Shark, Namor",D,43.27%,3.16%,208,Gold,1
"Black Widow, Hawkeye",D,38.10%,0.32%,21,Gold,1
"Captain America, Thor, Storm",A,60.14%,3.22%,419,Platinum,1
"Adam Warlock, Star Lord, Mantis",A,59.91%,1.67%,217,Platinum,1
"Doctor Strange, Hulk, Iron Man",A,58.73%,13.80%,"1,798",Platinum,1
"Psylocke, Magik, Black Panther",A,58.62%,0.22%,29,Platinum,1
"Venom, Peni Parker, Spider Man",A,56.72%,2.34%,305,Platinum,1
