Hero,Tier,Win Rate,WR Change,Pick Rate,PR Change,Ban Rate,Matches,Rank,Season
Psylocke,A,51.92%,N/A,29.87%,N/A,2.47%,"16,265",Grandmaster,season0
Rocket Raccoon,B,51.89%,N/A,23.47%,N/A,0.17%,"12,782",Grandmaster,season0
Hela,A,51.87%,N/A,16.22%,N/A,47.39%,"8,835",Grandmaster,season0
Hawkeye,A,51.33%,N/A,7.46%,N/A,50.24%,"4,062",Grandmaster,season0
Captain America,B,50.96%,N/A,3.52%,N/A,0.10%,"1,919",Grandmaster,season0
Thor,B,50.83%,N/A,13.44%,N/A,0.12%,"7,317",Grandmaster,season0
Luna Snow,S,50.71%,N/A,44.19%,N/A,26.69%,"24,066",Grandmaster,season0
Spider Man,B,50.39%,N/A,5.40%,N/A,0.91%,"2,943",Grandmaster,season0
Groot,B,50.36%,N/A,19.53%,N/A,0.32%,"10,636",Grandmaster,season0
Namor,B,49.58%,N/A,27.02%,N/A,1.78%,"14,717",Grandmaster,season0
Magneto,B,49.42%,N/A,36.84%,N/A,0.19%,"20,063",Grandmaster,season0
Scarlet Witch,C,49.28%,N/A,1.67%,N/A,0.08%,907,Grandmaster,season0
The Punisher,B,47.45%,N/A,20.03%,N/A,0.35%,"10,906",Grandmaster,season0
Venom,C,47.21%,N/A,6.41%,N/A,0.09%,"3,489",Grandmaster,season0
Jeff The Land Shark,C,46.46%,N/A,6.01%,N/A,0.21%,"3,274",Grandmaster,season0
Winter Soldier,B,46.05%,N/A,20.92%,N/A,0.33%,"11,391",Grandmaster,season0
Squirrel Girl,D,43.73%,N/A,2.96%,N/A,0.09%,"1,610",Grandmaster,season0
Cloak & Dagger,B,43.16%,N/A,39.16%,N/A,0.14%,"21,328",Grandmaster,season0
Black Widow,D,41.38%,N/A,1.19%,N/A,0.15%,650,Grandmaster,season0
Moon Knight,D,41.04%,N/A,8.02%,N/A,0.10%,"4,369",Grandmaster,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Grandmaster,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Grandmaster,season0
Magik,A,56.08%,N/A,12.55%,N/A,2.95%,"1,587",Eternity,season0
Iron Fist,B,54.49%,N/A,3.70%,N/A,0.90%,468,Eternity,season0
Loki,A,53.70%,N/A,24.68%,N/A,1.08%,"3,121",Eternity,season0
Iron Man,B,53.37%,N/A,9.26%,N/A,1.82%,"1,171",Eternity,season0
Adam Warlock,A,53.34%,N/A,24.89%,N/A,1.16%,"3,148",Eternity,season0
Wolverine,B,53.24%,N/A,13.06%,N/A,4.74%,"1,651",Eternity,season0
Star Lord,A,52.85%,N/A,28.73%,N/A,1.81%,"3,633",Eternity,season0
Hulk,A,52.84%,N/A,13.51%,N/A,40.53%,"1,709",Eternity,season0
Black Panther,B,52.73%,N/A,13.03%,N/A,6.52%,"1,648",Eternity,season0
Peni Parker,B,52.61%,N/A,5.01%,N/A,0.75%,633,Eternity,season0
Groot,B,52.14%,N/A,14.59%,N/A,0.63%,"1,845",Eternity,season0
Mantis,S,52.10%,N/A,69.27%,N/A,6.04%,"8,760",Eternity,season0
Doctor Strange,S,51.92%,N/A,73.71%,N/A,3.86%,"9,321",Eternity,season0
Hela,A,51.91%,N/A,18.39%,N/A,45.96%,"2,325",Eternity,season0
Psylocke,A,51.05%,N/A,30.02%,N/A,4.39%,"3,796",Eternity,season0
Luna Snow,S,50.65%,N/A,49.71%,N/A,24.80%,"6,286",Eternity,season0
Hawkeye,B,50.28%,N/A,10.05%,N/A,42.80%,"1,271",Eternity,season0
Rocket Raccoon,B,50.17%,N/A,14.22%,N/A,0.26%,"1,798",Eternity,season0
Namor,B,49.48%,N/A,27.46%,N/A,2.82%,"3,472",Eternity,season0
Magneto,A,49.42%,N/A,48.51%,N/A,0.58%,"6,135",Eternity,season0
Storm,C,49.02%,N/A,2.02%,N/A,0.41%,255,Eternity,season0
Thor,B,48.80%,N/A,9.20%,N/A,0.27%,"1,164",Eternity,season0
Jeff The Land Shark,C,48.32%,N/A,4.48%,N/A,0.55%,567,Eternity,season0
Captain America,C,48.05%,N/A,2.44%,N/A,0.26%,308,Eternity,season0
Venom,C,47.49%,N/A,4.25%,N/A,0.29%,537,Eternity,season0
Scarlet Witch,C,47.00%,N/A,0.79%,N/A,0.09%,100,Eternity,season0
Squirrel Girl,D,45.88%,N/A,2.02%,N/A,0.24%,255,Eternity,season0
Black Widow,D,45.52%,N/A,1.15%,N/A,0.14%,145,Eternity,season0
Winter Soldier,C,45.49%,N/A,16.29%,N/A,0.69%,"2,060",Eternity,season0
Spider Man,D,44.92%,N/A,3.12%,N/A,0.95%,394,Eternity,season0
The Punisher,C,43.48%,N/A,13.17%,N/A,0.48%,"1,665",Eternity,season0
Cloak & Dagger,C,42.11%,N/A,31.70%,N/A,0.16%,"4,009",Eternity,season0
Moon Knight,D,41.63%,N/A,5.05%,N/A,0.17%,639,Eternity,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,season0
Iron Fist,B,56.35%,N/A,4.20%,N/A,2.43%,362,One Above All,season0
Wolverine,B,54.00%,N/A,14.96%,N/A,8.54%,"1,289",One Above All,season0
Magik,B,53.79%,N/A,11.81%,N/A,3.70%,"1,017",One Above All,season0
Adam Warlock,A,53.22%,N/A,26.50%,N/A,1.43%,"2,283",One Above All,season0
Groot,B,52.71%,N/A,12.64%,N/A,1.02%,"1,089",One Above All,season0
Loki,A,52.43%,N/A,26.70%,N/A,1.68%,"2,300",One Above All,season0
Star Lord,A,52.24%,N/A,32.45%,N/A,2.53%,"2,795",One Above All,season0
Psylocke,A,52.08%,N/A,30.62%,N/A,5.07%,"2,638",One Above All,season0
Hulk,A,52.08%,N/A,15.94%,N/A,38.12%,"1,373",One Above All,season0
Black Panther,B,52.00%,N/A,12.48%,N/A,7.19%,"1,075",One Above All,season0
Mantis,S,51.85%,N/A,71.70%,N/A,6.06%,"6,176",One Above All,season0
Iron Man,B,51.52%,N/A,9.96%,N/A,1.94%,858,One Above All,season0
Doctor Strange,S,51.40%,N/A,72.35%,N/A,3.81%,"6,232",One Above All,season0
Storm,B,51.05%,N/A,1.66%,N/A,0.57%,143,One Above All,season0
Hela,A,51.03%,N/A,17.43%,N/A,46.06%,"1,501",One Above All,season0
Magneto,S,50.17%,N/A,52.51%,N/A,0.96%,"4,523",One Above All,season0
Luna Snow,S,50.14%,N/A,55.87%,N/A,21.24%,"4,813",One Above All,season0
Peni Parker,B,50.13%,N/A,4.47%,N/A,0.79%,385,One Above All,season0
Hawkeye,B,49.63%,N/A,10.85%,N/A,38.77%,935,One Above All,season0
Captain America,C,49.15%,N/A,2.74%,N/A,0.30%,236,One Above All,season0
Namor,B,48.99%,N/A,28.22%,N/A,2.47%,"2,431",One Above All,season0
Rocket Raccoon,B,48.87%,N/A,10.81%,N/A,0.29%,931,One Above All,season0
Jeff The Land Shark,C,48.81%,N/A,3.90%,N/A,0.64%,336,One Above All,season0
Thor,C,47.67%,N/A,6.99%,N/A,0.62%,602,One Above All,season0
The Punisher,C,45.35%,N/A,9.98%,N/A,0.31%,860,One Above All,season0
